t,line
4102.7313,MEAS ms=116519 seq=3652 src=1 c9=1210 c10=1500 c11=1012 c12=1500 step=6
4102.7313,MEAS ms=116539 seq=3653 src=1 c9=1210 c10=1500 c11=1012 c12=1500 step=6
4102.7665,MEAS ms=116547 seq=3654 src=1 c9=1210 c10=1500 c11=1012 c12=1500 step=6
4102.7666,MEAS ms=116556 seq=3655 src=1 c9=1210 c10=1500 c11=1012 c12=1500 step=6
4102.7666,MEAS ms=116565 seq=3656 src=1 c9=1210 c10=1500 c11=1012 c12=1500 step=6
4102.7666,MEAS ms=116573 seq=3657 src=1 c9=1210 c10=1500 c11=1012 c12=1500 step=6
4102.7939,MEAS ms=116582 seq=3658 src=1 c9=1210 c10=1500 c11=1012 c12=1500 step=6
4102.7939,MEAS ms=116591 seq=3659 src=1 c9=1210 c10=1500 c11=1012 c12=1500 step=6
4102.7940,MEAS ms=116600 seq=3660 src=1 c9=1210 c10=1500 c11=1012 c12=1500 step=6
4102.7940,MEAS ms=116610 seq=3661 src=1 c9=1210 c10=1500 c11=1012 c12=1500 step=6
4102.9383,MEAS ms=116619 seq=3662 src=1 c9=1210 c10=1500 c11=1012 c12=1500 step=6
4102.9383,MEAS ms=116664 seq=3663 src=1 c9=1210 c10=1500 c11=1012 c12=1500 step=6
4102.9383,MEAS ms=116709 seq=3664 src=1 c9=1210 c10=1500 c11=1012 c12=1500 step=6
4103.1184,MEAS ms=116754 seq=3665 src=1 c9=1210 c10=1500 c11=1012 c12=1500 step=6
4103.1184,MEAS ms=116799 seq=3666 src=1 c9=1210 c10=1500 c11=1012 c12=1500 step=6
4103.1184,MEAS ms=116844 seq=3667 src=1 c9=1210 c10=1500 c11=1012 c12=1500 step=6
4103.1185,MEAS ms=116889 seq=3668 src=1 c9=1210 c10=1500 c11=1012 c12=1500 step=6
4103.2534,MEAS ms=116934 seq=3669 src=1 c9=1210 c10=1500 c11=1012 c12=1500 step=6
4103.2534,MEAS ms=116979 seq=3670 src=1 c9=1210 c10=1500 c11=1012 c12=1500 step=6
